                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7265,                 4.0447,                 10.897,                 2.8118,                0.02724,                0.16142,                0.01671,                0.00403,                0.04296,                0.18898,                0.02278,                0.00474,                 1.9115,                 2.0344,                  39.67,                 1.5469,             0.00066454,             0.00066454,             0.00066454
                      2,                 2.9483,                 3.1501,                  3.377,                 2.0513,                0.03998,                0.04724,                0.01649,                0.00502,                0.07307,                0.12598,                0.03327,                0.00911,                 1.8843,                 1.8245,                 57.419,                 1.4819,               0.001318,               0.001318,               0.001318
                      3,                 2.7735,                 2.9642,                 2.4869,                 1.8397,                0.03255,                0.13386,                0.01582,                0.00407,                0.04691,                0.19291,                0.03247,                0.00607,                 1.9573,                 2.4111,                 59.478,                 1.4577,              0.0019583,              0.0019583,              0.0019583
                      4,                 2.6833,                 2.9261,                 2.3464,                 1.7649,                0.15381,                0.27165,                0.10491,                0.03422,                0.14569,                0.27559,                0.09693,                0.02595,                 1.7949,                 2.0937,                 1.6501,                 1.3658,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5955,                 2.9035,                 2.1282,                 1.6937,                0.11877,                0.23622,                0.06359,                0.02003,                0.12201,                 0.2126,                0.06907,                0.01753,                 1.7241,                 2.1268,                 1.9411,                  1.243,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5307,                 2.8691,                 2.0492,                 1.6251,                0.14902,                0.22441,                0.11433,                0.03774,                0.15277,                0.25197,                0.12105,                0.03557,                 1.6315,                 1.9108,                 22.388,                 1.1411,               0.001901,               0.001901,               0.001901
                      7,                 2.4674,                 2.8348,                 2.0154,                 1.6077,                0.18491,                0.23622,                0.15097,                0.04841,                0.22029,                0.24803,                0.14636,                0.03571,                 1.6612,                  1.888,                 8.1577,                 1.1247,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.459,                 2.7555,                 1.8984,                 1.5447,                0.32779,                 0.3189,                0.21349,                0.08539,                0.32342,                0.32677,                 0.2198,                 0.0702,                 1.5939,                 1.6672,                 9.2334,                 1.1224,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4139,                 2.7483,                 1.8673,                 1.5395,                0.31649,                0.30315,                0.24942,                0.08839,                0.32698,                0.29134,                0.25316,                0.08562,                 1.5506,                 1.7853,                 3.1116,                 1.0726,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3715,                 2.6674,                 1.8395,                  1.528,                0.23151,                0.32261,                 0.1525,                0.05595,                0.27337,                0.34646,                0.19703,                0.06064,                 1.5451,                 1.7706,                 1.8454,                 1.0567,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3348,                 2.6641,                 1.7747,                 1.4744,                0.54977,                0.33858,                0.34465,                0.13985,                   0.58,                0.35039,                  0.357,                0.12852,                 1.5115,                 1.8517,                 1.2422,                 1.0534,               0.001802,               0.001802,               0.001802
                     12,                 2.3344,                 2.6296,                 1.7567,                 1.4928,                0.44731,                0.39764,                0.32488,                0.11973,                 0.4629,                0.40157,                0.32552,                0.10307,                 1.5223,                  1.649,                 1.4608,                 1.0421,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.301,                  2.642,                 1.7286,                 1.4509,                0.42933,                0.34063,                0.36354,                0.14991,                0.46191,                0.31496,                0.33647,                0.12192,                 1.4639,                 1.9913,                 1.6639,                 1.0261,              0.0017624,              0.0017624,              0.0017624
